Id,Title,Instrument,Total Runs,Total Spots,Total Bases,Total Size,Submitter,Center,Contact,Experiment,Study,Organism,Sample,Library Strategy,Library Source,Library Selection,Library Layout,Bioproject,Biosample,Run Accession,Run Spots,Run Bases,Create Date,Update Date
35954028,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,Illumina NovaSeq 6000,1,20885803,6251168276,1908270339,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611573,SRP543294,Sorghum bicolor,SRS23110255,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415008,,,,2024/11/05,2024/11/05
35954027,Metabolomic and Transcriptomic Analysis of Drought Resistance Mechanisms in Sorghum Varieties,Illumina NovaSeq 6000,1,20738414,6208267214,1942450730,SRA2001949,Xingjiang Academy of Agricultural Sciences,YUE Li,SRX26611572,SRP543294,Sorghum bicolor,SRS23110254,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,PRJNA1180449,SAMN44415007,,,,2024/11/05,2024/11/05
34996668,GSM8491579: JL with drought treatment (3); Sorghum bicolor; RNA-Seq,Illumina NovaSeq 6000,1,21430081,6429024300,1953758317,SRA1960383,??????,GEO Group,SRX25926325,SRP529828,Sorghum bicolor,SRS22513781,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436987,,,,2025/07/15,2024/08/31
34996667,GSM8491578: JL with drought treatment (2); Sorghum bicolor; RNA-Seq,Illumina NovaSeq 6000,1,21256775,6377032500,1965854416,SRA1960383,??????,GEO Group,SRX25926324,SRP529828,Sorghum bicolor,SRS22513780,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436988,,,,2025/07/15,2024/08/31
34996666,GSM8491577: JL with drought treatment (1); Sorghum bicolor; RNA-Seq,Illumina NovaSeq 6000,1,19970136,5991040800,1836518924,SRA1960383,??????,GEO Group,SRX25926323,SRP529828,Sorghum bicolor,SRS22513779,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436989,,,,2025/07/15,2024/08/31
34996665,GSM8491576: JL with normal water supply (3); Sorghum bicolor; RNA-Seq,Illumina NovaSeq 6000,1,21049448,6314834400,1922645510,SRA1960383,??????,GEO Group,SRX25926322,SRP529828,Sorghum bicolor,SRS22513778,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436990,,,,2025/07/15,2024/08/31
34996664,GSM8491575: JL with normal water supply (2); Sorghum bicolor; RNA-Seq,Illumina NovaSeq 6000,1,20903494,6271048200,1925888476,SRA1960383,??????,GEO Group,SRX25926321,SRP529828,Sorghum bicolor,SRS22513777,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436991,,,,2025/07/15,2024/08/31
34996663,GSM8491574: JL with normal water supply (1); Sorghum bicolor; RNA-Seq,Illumina NovaSeq 6000,1,21013934,6304180200,1922964895,SRA1960383,??????,GEO Group,SRX25926320,SRP529828,Sorghum bicolor,SRS22513775,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436992,,,,2025/07/15,2024/08/31
34996662,GSM8491573: SCS with drought treatment (3); Sorghum bicolor; RNA-Seq,Illumina NovaSeq 6000,1,21166621,6349986300,1950166705,SRA1960383,??????,GEO Group,SRX25926319,SRP529828,Sorghum bicolor,SRS22513776,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436993,,,,2025/07/15,2024/08/31
34996661,GSM8491572: SCS with drought treatment (2); Sorghum bicolor; RNA-Seq,Illumina NovaSeq 6000,1,20909497,6272849100,1916058380,SRA1960383,??????,GEO Group,SRX25926318,SRP529828,Sorghum bicolor,SRS22513774,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436994,,,,2025/07/15,2024/08/31
34996660,GSM8491571: SCS with drought treatment (1); Sorghum bicolor; RNA-Seq,Illumina NovaSeq 6000,1,21460987,6438296100,2110903904,SRA1960383,??????,GEO Group,SRX25926317,SRP529828,Sorghum bicolor,SRS22513773,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436995,,,,2025/07/15,2024/08/31
34996659,GSM8491570: SCS with normal water supply (3); Sorghum bicolor; RNA-Seq,Illumina NovaSeq 6000,1,23245262,6973578600,2045948028,SRA1960383,??????,GEO Group,SRX25926316,SRP529828,Sorghum bicolor,SRS22513772,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436996,,,,2025/07/15,2024/08/31
34996658,GSM8491569: SCS with normal water supply (2); Sorghum bicolor; RNA-Seq,Illumina NovaSeq 6000,1,24526377,7357913100,2156607406,SRA1960383,??????,GEO Group,SRX25926315,SRP529828,Sorghum bicolor,SRS22513771,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436997,,,,2025/07/15,2024/08/31
34996657,GSM8491568: SCS with normal water supply (1); Sorghum bicolor; RNA-Seq,Illumina NovaSeq 6000,1,24076215,7222864500,2152146018,SRA1960383,??????,GEO Group,SRX25926314,SRP529828,Sorghum bicolor,SRS22513770,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1154941,SAMN43436998,,,,2025/07/15,2024/08/31
33957348,DNBSEQ-G400 paired end sequencing of SAMD00516992,DNBSEQ-G400,1,19491652,3898330400,2729550699,DRA014570,WAKAYAMA,"Faculty of Education, Wakayama University",DRX381744,DRP011818,Sorghum bicolor,DRS397501,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJDB13919,SAMD00516992,,,,2024/07/21,2024/07/21
33957347,DNBSEQ-G400 paired end sequencing of SAMD00516991,DNBSEQ-G400,1,21663244,4332648800,2978224115,DRA014570,WAKAYAMA,"Faculty of Education, Wakayama University",DRX381743,DRP011818,Sorghum bicolor,DRS397500,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJDB13919,SAMD00516991,,,,2024/07/21,2024/07/21
33957345,DNBSEQ-G400 paired end sequencing of SAMD00516990,DNBSEQ-G400,1,12745981,2549196200,1736344968,DRA014570,WAKAYAMA,"Faculty of Education, Wakayama University",DRX381742,DRP011818,Sorghum bicolor,DRS397499,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJDB13919,SAMD00516990,,,,2024/07/21,2024/07/21
33957343,DNBSEQ-G400 paired end sequencing of SAMD00516989,DNBSEQ-G400,1,20921257,4184251400,2914610425,DRA014570,WAKAYAMA,"Faculty of Education, Wakayama University",DRX381741,DRP011818,Sorghum bicolor,DRS397498,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJDB13919,SAMD00516989,,,,2024/07/21,2024/07/21
33957340,DNBSEQ-G400 paired end sequencing of SAMD00516988,DNBSEQ-G400,1,21413561,4282712200,3007270868,DRA014570,WAKAYAMA,"Faculty of Education, Wakayama University",DRX381740,DRP011818,Sorghum bicolor,DRS397497,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJDB13919,SAMD00516988,,,,2024/07/21,2024/07/21
33957338,DNBSEQ-G400 paired end sequencing of SAMD00516987,DNBSEQ-G400,1,14335494,2867098800,1957305728,DRA014570,WAKAYAMA,"Faculty of Education, Wakayama University",DRX381739,DRP011818,Sorghum bicolor,DRS397496,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJDB13919,SAMD00516987,,,,2024/07/21,2024/07/21
33392808,Drought Fe,NextSeq 2000,1,22590427,2281633127,733130840,SRA1908635,University of Louisiana at Monroe,Ahmad Kabir,SRX25055511,SRP516063,Sorghum bicolor,SRS21752562,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA1128172,SAMN42042019,,,,2025/07/01,2024/06/25
33392807,Drought Fe,NextSeq 2000,1,26602586,2686861186,858196256,SRA1908635,University of Louisiana at Monroe,Ahmad Kabir,SRX25055510,SRP516063,Sorghum bicolor,SRS21752561,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA1128172,SAMN42042001,,,,2025/07/01,2024/06/25
33392806,Drought Fe,NextSeq 2000,1,18094859,1827580759,585075463,SRA1908635,University of Louisiana at Monroe,Ahmad Kabir,SRX25055509,SRP516063,Sorghum bicolor,SRS21752560,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA1128172,SAMN42042000,,,,2025/07/01,2024/06/25
33392805,Drought,NextSeq 2000,1,18388709,1857259609,594662664,SRA1908635,University of Louisiana at Monroe,Ahmad Kabir,SRX25055508,SRP516063,Sorghum bicolor,SRS21752559,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA1128172,SAMN42041999,,,,2025/07/01,2024/06/25
33392804,Drought,NextSeq 2000,1,16337188,1650055988,525387833,SRA1908635,University of Louisiana at Monroe,Ahmad Kabir,SRX25055507,SRP516063,Sorghum bicolor,SRS21752558,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA1128172,SAMN42041998,,,,2025/07/01,2024/06/25
33392803,Drought,NextSeq 2000,1,2628588,265487388,87284558,SRA1908635,University of Louisiana at Monroe,Ahmad Kabir,SRX25055506,SRP516063,Sorghum bicolor,SRS21752557,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,PRJNA1128172,SAMN42041997,,,,2025/07/01,2024/06/25
32531610,RNA-Seq of Sorghum bicolor,Illumina NovaSeq 6000,1,25204533,7561359900,2432844952,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219589,SRP500850,Sorghum bicolor,SRS20989445,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923240,,,,2024/04/10,2024/04/10
32531609,RNA-Seq of Sorghum bicolor,Illumina NovaSeq 6000,1,23871643,7161492900,2311777635,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219588,SRP500850,Sorghum bicolor,SRS20989439,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923239,,,,2024/04/10,2024/04/10
32531608,RNA-Seq of Sorghum bicolor,Illumina NovaSeq 6000,1,25267695,7580308500,2500962980,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219587,SRP500850,Sorghum bicolor,SRS20989438,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923238,,,,2024/04/10,2024/04/10
32531607,RNA-Seq of Sorghum bicolor,Illumina NovaSeq 6000,1,25291893,7587567900,2527065276,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219586,SRP500850,Sorghum bicolor,SRS20989441,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923237,,,,2024/04/10,2024/04/10
32531606,RNA-Seq of Sorghum bicolor,Illumina NovaSeq 6000,1,21794667,6538400100,2010381941,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219585,SRP500850,Sorghum bicolor,SRS20989443,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923248,,,,2024/04/10,2024/04/10
32531605,RNA-Seq of Sorghum bicolor,Illumina NovaSeq 6000,1,25566818,7670045400,2374915193,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219584,SRP500850,Sorghum bicolor,SRS20989437,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923247,,,,2024/04/10,2024/04/10
32531604,RNA-Seq of Sorghum bicolor,Illumina NovaSeq 6000,1,27845586,8353675800,2594611804,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219583,SRP500850,Sorghum bicolor,SRS20989444,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923246,,,,2024/04/10,2024/04/10
32531603,RNA-Seq of Sorghum bicolor,Illumina NovaSeq 6000,1,21845963,6553788900,2072969618,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219582,SRP500850,Sorghum bicolor,SRS20989436,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923245,,,,2024/04/10,2024/04/10
32531602,RNA-Seq of Sorghum bicolor,Illumina NovaSeq 6000,1,22967053,6890115900,2164305346,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219581,SRP500850,Sorghum bicolor,SRS20989440,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923242,,,,2024/04/10,2024/04/10
32531601,RNA-Seq of Sorghum bicolor,Illumina NovaSeq 6000,1,23576400,7072920000,2189407213,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219580,SRP500850,Sorghum bicolor,SRS20989442,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923241,,,,2024/04/10,2024/04/10
32531600,RNA-Seq of Sorghum bicolor,Illumina NovaSeq 6000,1,21540508,6462152400,2072092814,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219579,SRP500850,Sorghum bicolor,SRS20989435,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923244,,,,2024/04/10,2024/04/10
32531599,RNA-Seq of Sorghum bicolor,Illumina NovaSeq 6000,1,22064549,6619364700,2084652447,SRA1843511,Shanxi Agricultural University cash crop Research ,Rui Dong Zhang,SRX24219578,SRP500850,Sorghum bicolor,SRS20989434,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,PRJNA1098791,SAMN40923243,,,,2024/04/10,2024/04/10
32310766,GSM8156863: NIL-WT-72 Drought Rep 3 [WTD3]; Sorghum bicolor; RNA-Seq,NextSeq 2000,1,29382886,4389170198,1131322075,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004710,SRP496732,Sorghum bicolor,SRS20801017,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557829,,,,2024/08/31,2024/03/20
32310765,GSM8156862: NIL-WT-72 Drought Rep 2 [WTD2]; Sorghum bicolor; RNA-Seq,NextSeq 2000,1,33727988,5038849357,1295525290,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004709,SRP496732,Sorghum bicolor,SRS20801016,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557830,,,,2024/08/31,2024/03/20
32310764,GSM8156861: NIL-WT-72 Drought Rep 1 [WTD1]; Sorghum bicolor; RNA-Seq,NextSeq 2000,1,32158151,4804340524,1228581360,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004708,SRP496732,Sorghum bicolor,SRS20801015,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557831,,,,2024/08/31,2024/03/20
32310763,GSM8156860: NIL-WT-72 Control Rep 3 [WTC3]; Sorghum bicolor; RNA-Seq,NextSeq 2000,1,26000916,3884451388,871105828,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004707,SRP496732,Sorghum bicolor,SRS20801014,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557832,,,,2024/08/31,2024/03/20
32310762,GSM8156859: NIL-WT-72 Control Rep 2 [WTC2]; Sorghum bicolor; RNA-Seq,NextSeq 2000,1,20429895,3051663970,777330870,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004706,SRP496732,Sorghum bicolor,SRS20801013,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557833,,,,2024/08/31,2024/03/20
32310761,GSM8156858: NIL-WT-72 Control Rep 1 [WTC1]; Sorghum bicolor; RNA-Seq,NextSeq 2000,1,29029334,4336257809,1122032968,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004705,SRP496732,Sorghum bicolor,SRS20801012,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557834,,,,2024/08/31,2024/03/20
32310760,GSM8156857: NIL-bri1-72 Drought Rep 3 [bri1D3]; Sorghum bicolor; RNA-Seq,NextSeq 2000,1,35062592,5238564865,1353953346,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004704,SRP496732,Sorghum bicolor,SRS20801011,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557835,,,,2024/08/31,2024/03/20
32310759,GSM8156856: NIL-bri1-72 Drought Rep 2 [bri1D2]; Sorghum bicolor; RNA-Seq,NextSeq 2000,1,33855430,5058399679,1112989730,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004703,SRP496732,Sorghum bicolor,SRS20801010,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557836,,,,2024/08/31,2024/03/20
32310758,GSM8156855: NIL-bri1-72 Drought Rep 1 [bri1D1]; Sorghum bicolor; RNA-Seq,NextSeq 2000,1,27897545,4167620269,1070429411,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004702,SRP496732,Sorghum bicolor,SRS20801009,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557837,,,,2024/08/31,2024/03/20
32310757,GSM8156854: NIL-bri1-72 Control Rep 3 [bri1C3]; Sorghum bicolor; RNA-Seq,NextSeq 2000,1,26808296,4004841705,1031342750,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004701,SRP496732,Sorghum bicolor,SRS20801008,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557838,,,,2024/08/31,2024/03/20
32310756,GSM8156853: NIL-bri1-72 Control Rep 2 [bri1C2]; Sorghum bicolor; RNA-Seq,NextSeq 2000,1,27796023,4152470574,1076887476,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004700,SRP496732,Sorghum bicolor,SRS20801007,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557839,,,,2024/08/31,2024/03/20
32310755,GSM8156852: NIL-bri1-72 Control Rep 1 [bri1C1]; Sorghum bicolor; RNA-Seq,NextSeq 2000,1,36455394,5445917452,1399415736,SRA1829859,"Ana I. Caño-Delgado's lab, Molecular Genetics, Cen",GEO Group,SRX24004699,SRP496732,Sorghum bicolor,SRS20801006,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA1090110,SAMN40557840,,,,2024/08/31,2024/03/20
27241542,RNA-seq of sorghum: root,Illumina HiSeq 2000,1,21417202,6425160600,2020877274,SRA1615860,China Three Gogres university,Chao He,SRX19871046,SRP430922,Sorghum bicolor,SRS17226258,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073806,,,,2023/12/31,2023/04/05
27241541,RNA-seq of sorghum: leaf,Illumina HiSeq 2000,1,21830943,6549282900,2032517501,SRA1615860,China Three Gogres university,Chao He,SRX19871045,SRP430922,Sorghum bicolor,SRS17226257,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073805,,,,2023/12/31,2023/04/05
27241540,RNA-seq of sorghum: leaf,Illumina HiSeq 2000,1,21689674,6506902200,2025919411,SRA1615860,China Three Gogres university,Chao He,SRX19871044,SRP430922,Sorghum bicolor,SRS17226256,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073804,,,,2023/12/31,2023/04/05
27241539,RNA-seq of sorghum: leaf,Illumina HiSeq 2000,1,21986712,6596013600,2055019587,SRA1615860,China Three Gogres university,Chao He,SRX19871043,SRP430922,Sorghum bicolor,SRS17226255,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073803,,,,2023/12/31,2023/04/05
27241523,RNA-seq of sorghum: root under PEG,Illumina HiSeq 2000,1,21236789,6371036700,1994445780,SRA1615860,China Three Gogres university,Chao He,SRX19871027,SRP430922,Sorghum bicolor,SRS17226239,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073814,,,,2023/12/31,2023/04/05
27241522,RNA-seq of sorghum: root under PEG,Illumina HiSeq 2000,1,23663790,7099137000,2210995998,SRA1615860,China Three Gogres university,Chao He,SRX19871026,SRP430922,Sorghum bicolor,SRS17226238,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073813,,,,2023/12/31,2023/04/05
27241521,RNA-seq of sorghum: root under PEG,Illumina HiSeq 2000,1,21833187,6549956100,2058201039,SRA1615860,China Three Gogres university,Chao He,SRX19871025,SRP430922,Sorghum bicolor,SRS17226237,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073812,,,,2023/12/31,2023/04/05
27241520,RNA-seq of sorghum: leaf under PEG,Illumina HiSeq 2000,1,19337737,5801321100,1808486536,SRA1615860,China Three Gogres university,Chao He,SRX19871024,SRP430922,Sorghum bicolor,SRS17226236,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073811,,,,2023/12/31,2023/04/05
27241519,RNA-seq of sorghum: leaf under PEG,Illumina HiSeq 2000,1,23937797,7181339100,2242151722,SRA1615860,China Three Gogres university,Chao He,SRX19871023,SRP430922,Sorghum bicolor,SRS17226235,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073810,,,,2023/12/31,2023/04/05
27241518,RNA-seq of sorghum: leaf under PEG,Illumina HiSeq 2000,1,21161108,6348332400,1989910537,SRA1615860,China Three Gogres university,Chao He,SRX19871022,SRP430922,Sorghum bicolor,SRS17226234,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073809,,,,2023/12/31,2023/04/05
27241517,RNA-seq of sorghum: root,Illumina HiSeq 2000,1,24353373,7306011900,2294987508,SRA1615860,China Three Gogres university,Chao He,SRX19871021,SRP430922,Sorghum bicolor,SRS17226233,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073808,,,,2023/12/31,2023/04/05
27241516,RNA-seq of sorghum: root,Illumina HiSeq 2000,1,21406688,6422006400,2009206323,SRA1615860,China Three Gogres university,Chao He,SRX19871020,SRP430922,Sorghum bicolor,SRS17226232,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,PRJNA952350,SAMN34073807,,,,2023/12/31,2023/04/05
